sno,occupation_title,nco_2015,nco_2004,division,subdivision,group,family,description,embed_data
1778,"Concrete Placers, Concrete Finishers and Related Workers, Other",7114.9900,7123.90,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Concrete Placers, Concrete Finishers and Related Workers","Concrete Placers, Concrete Finishers and Related Workers, Other belongs to the Concrete Placers, Concrete Finishers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Concrete Placers, Concrete Finishers and Related Workers, Other NCO 2015: 7114.9900, NCO 2004: 7123.90 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Concrete Placers, Concrete Finishers and Related Workers. Description: Concrete Placers, Concrete Finishers and Related Workers, Other belongs to the Concrete Placers, Concrete Finishers and Related Workers family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1779,Shipwright,7115.0700,7124.45,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Carpenters and Joiners,Shipwright belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.,"The occupation Shipwright NCO 2015: 7115.0700, NCO 2004: 7124.45 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Carpenters and Joiners. Description: Shipwright belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1780,"Lascar Stager, Ship Building",7115.0800,7124.50,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Carpenters and Joiners,"Lascar Stager, Ship Building belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Lascar Stager, Ship Building NCO 2015: 7115.0800, NCO 2004: 7124.50 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Carpenters and Joiners. Description: Lascar Stager, Ship Building belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1781,"Carpenter Worker, Boat Building",7115.1100,7124.65,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Carpenters and Joiners,"Carpenter Worker, Boat Building belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Carpenter Worker, Boat Building NCO 2015: 7115.1100, NCO 2004: 7124.65 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Carpenters and Joiners. Description: Carpenter Worker, Boat Building belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1782,"Carpenter, Boat Building",7115.1200,7124.70,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Carpenters and Joiners,"Carpenter, Boat Building belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Carpenter, Boat Building NCO 2015: 7115.1200, NCO 2004: 7124.70 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Carpenters and Joiners. Description: Carpenter, Boat Building belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1783,"Caulker, Boat Building",7115.1300,7124.75,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Carpenters and Joiners,"Caulker, Boat Building belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Caulker, Boat Building NCO 2015: 7115.1300, NCO 2004: 7124.75 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Carpenters and Joiners. Description: Caulker, Boat Building belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1784,"Carpenters and Joiners Operatives, Other",7115.9900,7124.90,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Carpenters and Joiners,"Carpenters and Joiners Operatives, Other belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Carpenters and Joiners Operatives, Other NCO 2015: 7115.9900, NCO 2004: 7124.90 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Carpenters and Joiners. Description: Carpenters and Joiners Operatives, Other belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1785,"Carpenter, General",7115.0100,7124.10,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Carpenters and Joiners,"Carpenter, General belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Carpenter, General NCO 2015: 7115.0100, NCO 2004: 7124.10 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Carpenters and Joiners. Description: Carpenter, General belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1786,"Carpenter, Construction",7115.0200,7124.20,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Carpenters and Joiners,"Carpenter, Construction belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Carpenter, Construction NCO 2015: 7115.0200, NCO 2004: 7124.20 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Carpenters and Joiners. Description: Carpenter, Construction belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1787,Assistant Shuttering Carpenter,7115.0201,,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Carpenters and Joiners,Assistant Shuttering Carpenter belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.,"The occupation Assistant Shuttering Carpenter NCO 2015: 7115.0201, NCO 2004: nan belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Carpenters and Joiners. Description: Assistant Shuttering Carpenter belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1788,"Carpenter, Structural",7115.0300,7124.25,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Carpenters and Joiners,"Carpenter, Structural belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Carpenter, Structural NCO 2015: 7115.0300, NCO 2004: 7124.25 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Carpenters and Joiners. Description: Carpenter, Structural belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1789,"Carpenter, Village",7115.0400,7124.30,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Carpenters and Joiners,"Carpenter, Village belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Carpenter, Village NCO 2015: 7115.0400, NCO 2004: 7124.30 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Carpenters and Joiners. Description: Carpenter, Village belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
1790,"Joiner, Wood",7115.0500,7124.35,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Carpenters and Joiners,"Joiner, Wood belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division.","The occupation Joiner, Wood NCO 2015: 7115.0500, NCO 2004: 7124.35 belongs to division Craft and Related Trades Workers, subdivision Building and Related Trade Workers (Excluding Electricians), group Building Finishers and Related Trades Workers, and family Carpenters and Joiners. Description: Joiner, Wood belongs to the Carpenters and Joiners family under Building Finishers and Related Trades Workers group in the Craft and Related Trades Workers division."
